Genre,RMS mean,RMS variance,RMS median,LUFS mean,LUFS variance,LUFS median,LRA mean,LRA variance,LRA median,N peaks mean,N peaks variance,N peaks median,DR mean,DR variance,DR median,Crest mean,Crest variance,Crest median,L-R mean,L-R variance,L-R median,M-S mean,M-S variance,M-S median
pop,0.27246668531248963,0.0050066451878353945,0.3065340667963028,-9.093468427658081,5.809388650601098,-8.219656944274902,2.4773088097572327,2.3172748066985553,1.8781452178955078,537.625,764548.3177083334,110.0,9.795685516666666,11.646690728354196,9.941894000000001,5.389067441225052,2.7204895858546987,4.693603038787842,0.0011059052000443085,8.097046475053762e-05,0.0003679916262626,0.2641819889031832,0.004346394595558578,0.28395101338984036
orchestral,0.09351072052959349,0.002933503407017958,0.082386840134859,-18.162031888961792,35.545819430267954,-17.58124542236328,7.055113951365153,17.366280286977645,6.1697678565979,0.0,0.0,0.0,19.0117519625,154.47440735255446,15.483755500000001,9.356541593869528,12.554071750041807,8.354992866516113,0.0004624641345192882,0.00017207014417044096,0.0010012593120336001,0.41412250310685755,0.006170803564106278,0.4495912739627659
electronic,0.28068095114496017,0.009541590947132882,0.28395073115825653,-9.430143151018354,9.087100586794044,-8.876347541809082,2.8078584406110974,5.115817606004779,2.1513848304748535,980.2777777777778,7577940.25617284,12.0,9.15266996111111,41.670984775044865,8.07669425,5.109608597225613,2.4842229969057965,4.727757692337036,-0.00472375481492942,0.0005545284929942978,-0.00058009475469585,0.26720637964902205,0.009829594582760995,0.24489137492951266
soul,0.2206010850412505,0.006231560229904021,0.22214002162218088,-11.141373634338379,10.530331946957176,-10.839212894439697,2.9232777782848904,5.575252210257017,2.228832244873047,197.60714285714286,262868.9528061224,0.0,10.881823242857141,22.437007049512378,9.6575235,6.277278644698007,2.998605210881525,6.17616081237793,0.0011974748756204453,0.00043999641044954957,-0.0007320269942282999,0.23879785283249005,0.013537582182598635,0.23771119848720224
country,0.24132920963608698,0.006722854633780489,0.2755133509635925,-10.03774184766023,16.826958015491936,-8.321598052978516,2.7902718004973037,5.186674161170882,1.988443374633789,96.52173913043478,23674.16257088847,13.0,8.352596821739128,14.545616390661278,9.002369,6.039891139320705,8.526821310022628,4.727210998535156,-0.00399588923091474,0.00036576541840642403,-8.791685104370117e-07,0.2725837437336246,0.009084727920163004,0.2938152721119663
motown,0.14570085863981924,0.004561999320641758,0.170050173997879,-14.351965495518275,24.022685156357333,-11.504507064819336,2.0357894216265,1.2328180547119978,2.2757816314697266,0.0,0.0,0.0,7.3145811,5.058012325981541,8.472741,6.036169324602399,0.48426048347481787,6.036768913269043,-0.003050026616879834,6.221255837343522e-05,-0.0030526369810104,0.28459123332935776,0.016260598352398858,0.3266614717385668
hip-hop,0.295369915664196,0.0030008258888443913,0.29453252255916595,-8.757333397865295,1.382781631965642,-8.891645431518555,2.126274267832438,0.8222511122292847,1.7814483642578125,511.5416666666667,507748.4149305555,79.0,10.891347433333332,64.673744859278,9.8333805,4.858952949444453,1.091896418190397,4.75600266456604,0.004170646890997867,0.00012235029356057254,0.00151759386062615,0.22948771429373674,0.0035389582847513896,0.229549808210916
jazz,0.16717150323092936,0.00442469540002568,0.16621767729520795,-13.516375001271566,12.374524287302657,-13.77677297592163,3.1288418134053546,2.434913000267105,2.905320644378662,5.833333333333333,275.67222222222216,0.0,13.335186333333331,47.174320792726775,12.200252,7.6756337483723955,5.2787800759034536,7.416043519973755,0.002820357928673411,0.0002790524099154674,0.00228325650095935,0.2521564464498824,0.01567889073918444,0.2497264255174379
classical,0.0818446675315499,0.0038500788367599624,0.0596704315394163,-19.10682266553243,29.94034713407107,-20.163047790527344,8.42432902654012,15.600284749171179,8.88355541229248,0.6666666666666666,6.822222222222225,0.0,23.586124556666668,171.56246815360515,21.4857835,10.860354455312093,16.082596196600115,10.710838794708252,-0.0011827083304524334,0.00020771481006935023,-0.0009272359311580001,0.35371068434950403,0.020773675724070077,0.3956659037556425
reggae,0.2649130903441331,0.0028440359134540216,0.270348310470581,-9.398357046061548,3.8138026580189432,-9.090439796447754,1.9861114436182483,1.303374050106939,1.654067039489746,469.13793103448273,814165.2913198572,166.0,8.981205455172415,18.832538417342782,7.9041295,5.269528545182327,0.8085742813929513,5.230820178985596,1.8290918448876647e-05,5.458025316961252e-05,-1.0281801223754885e-06,0.20106667339739345,0.005216265536113796,0.2077980345923868
funk,0.27185323144550677,0.008968169614104807,0.2521654069423675,-9.464090753484655,8.867832329757785,-9.311317443847656,2.385778815658004,2.765610096477911,2.056414604187012,4170.037037037037,180218845.88751712,40.0,11.429543303703703,76.66089258556688,8.191986,5.643104129367405,2.1765542082808294,5.8872599601745605,-0.0006411815131152092,0.0002361520933302433,-0.0009984970092773,0.1829372780161086,0.0057212341624430065,0.1719928941596398
metal,0.27322707545978053,0.005232000119429463,0.28436478972435,-8.427331553565132,13.620374472466029,-7.026046752929688,1.8673856699908222,2.538843365929943,1.3479032516479492,314.0740740740741,270580.8093278464,37.0,5.762133451851853,8.306190007837577,4.8850336,4.635491097414935,0.6899781496451166,4.642056465148926,0.003015555441379537,0.0001384709248914605,0.0034646391868591,0.32545711075911066,0.004870206751849748,0.3360058322365281
rhythm and blues,0.12557072199082797,0.0030009540308091076,0.12744823843240735,-15.30938526562282,15.989466970492197,-14.036293983459473,3.576608112880162,3.459156469704108,2.943865299224854,0.0,0.0,0.0,14.806065353571428,52.213023628885246,12.5826495,8.238688247544426,7.336685049165607,7.33255934715271,-0.002767213420676332,0.00014443773646158987,-6.77257776260376e-06,0.16764046674564298,0.036084444174040185,0.0667320919126027
